id,name,sex,ioc,age,ht,hand,rank,df_mean,1stIn_mean,2ndWon_mean,SvGms_mean,bpSaved_mean,bpFaced_mean,tot_games,winrate,ace_on_service(%),df_on_service(%),point_on_first_service(%),Hard_win(%),Clay_win(%),Grass_win(%),Carpet_win(%),Hard_los(%),Clay_los(%),Grass_los(%),Carpet_los(%),Best_Surface,Worste_Surface,tie_break_rate(%)
215832,Gabriella Da Silva Fick,Female,AUS,19,177,R,533,3,43,10,10,3,7,71.0,33.8,2.04,4.32,61.55,16.9,16.9,0.0,0.0,45.07,15.49,2.82,2.82,Hard,Hard,11.27
202495,Jennifer Elie,Female,USA,23,177,R,415,3,43,11,10,3,7,168.0,44.64,2.12,4.48,62.56,35.71,7.14,1.79,0.0,42.86,10.71,1.79,0.0,Hard,Hard,9.52
215018,Destanee Aiava,Female,AUS,19,177,R,224,3,42,11,10,3,7,186.0,55.91,2.7,4.61,63.87,37.1,15.05,3.76,0.0,29.57,9.68,4.84,0.0,Hard,Hard,10.75
221046,Ramona Mataruga,Female,AUS,24,177,R,938,3,43,10,10,3,7,12.0,41.67,2.02,4.28,62.02,41.67,0.0,0.0,0.0,50.0,0.0,8.33,0.0,Hard,Hard,8.33
202636,Zuzana Zlochova,Female,SVK,30,177,R,313,3,43,10,10,3,7,160.0,50.0,2.11,4.42,62.5,43.75,6.25,0.0,0.0,36.88,12.5,0.62,0.0,Hard,Hard,11.88
220904,Amber Marshall,Female,AUS,18,177,U,619,3,42,10,9,3,8,23.0,43.48,2.01,4.71,61.56,43.48,0.0,0.0,0.0,52.17,0.0,4.35,0.0,Hard,Hard,4.35
221026,Zara Brankovic,Female,AUS,18,177,U,1204,3,43,10,10,3,7,5.0,40.0,1.99,4.27,61.86,40.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,Hard,Hard,20.0
216158,Mana Kawamura,Female,JPN,18,177,U,828,3,43,10,10,3,7,44.0,43.18,2.04,4.28,62.16,18.18,22.73,0.0,2.27,29.55,20.45,2.27,4.55,Clay,Hard,11.36
215189,Alana Parnaby,Female,AUS,25,177,U,686,3,42,10,9,3,8,64.0,23.44,1.82,4.42,60.36,14.06,7.81,1.56,0.0,45.31,25.0,6.25,0.0,Hard,Hard,4.69
215811,Alexandra Bozovic,Female,AUS,21,177,U,457,3,42,10,9,3,7,113.0,43.36,2.07,4.38,62.03,31.86,7.96,0.88,2.65,42.48,7.96,3.54,2.65,Hard,Hard,7.08
215440,Alicia Smith,Female,AUS,23,177,U,729,3,43,10,10,3,8,45.0,31.11,1.86,4.26,61.03,24.44,4.44,2.22,0.0,46.67,15.56,6.67,0.0,Hard,Hard,11.11
202640,Irina Ramialison,Female,FRA,28,177,R,453,3,42,11,10,3,7,122.0,57.38,2.32,4.37,63.27,32.79,22.95,1.64,0.0,22.95,17.21,1.64,0.82,Hard,Hard,9.84
205923,Abbie Myers,Female,AUS,25,177,R,310,3,43,10,10,3,7,143.0,44.76,2.14,4.35,62.41,25.17,13.29,2.1,4.2,34.27,16.78,2.8,1.4,Hard,Hard,9.79
214239,Sara Tomic,Female,AUS,22,177,R,860,2,42,10,10,3,7,83.0,44.58,2.35,4.24,62.32,33.73,0.0,9.64,1.2,40.96,4.82,6.02,3.61,Hard,Hard,13.25
216324,Misaki Matsuda,Female,JPN,21,177,U,743,3,43,11,10,3,7,49.0,51.02,2.16,4.29,62.89,18.37,22.45,8.16,2.04,24.49,16.33,2.04,6.12,Clay,Hard,10.2
220844,Susan Doldan,Female,PAR,19,177,U,1187,3,43,10,10,4,9,11.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,None,Clay,0.0
220845,Heydi Doldan,Female,PAR,19,177,U,1239,3,43,10,10,4,9,9.0,0.0,1.41,4.23,58.14,0.0,0.0,0.0,0.0,11.11,88.89,0.0,0.0,None,Clay,0.0
215293,Jana Bojovic,Female,SRB,21,177,U,981,3,43,10,10,3,7,11.0,45.45,2.08,4.28,62.37,0.0,45.45,0.0,0.0,0.0,54.55,0.0,0.0,Clay,Clay,9.09
213530,Allie Kiick,Female,USA,25,177,R,169,3,41,10,9,3,7,167.0,55.09,2.38,4.93,61.88,20.36,34.73,0.0,0.0,25.15,18.56,1.2,0.0,Clay,Hard,5.99
215166,Aneta Kladivova,Female,CZE,20,177,R,1072,2,42,10,9,3,7,40.0,42.5,2.12,4.27,62.13,2.5,40.0,0.0,0.0,10.0,45.0,0.0,2.5,Clay,Clay,2.5
220740,Ivana Sebestova,Female,CZE,19,177,U,1200,3,43,10,10,3,8,25.0,28.0,1.82,4.26,60.74,8.0,20.0,0.0,0.0,20.0,48.0,0.0,4.0,Clay,Clay,4.0
220461,Karolina Kubanova,Female,CZE,19,177,U,798,3,43,10,10,3,7,32.0,37.5,1.96,4.27,61.63,6.25,31.25,0.0,0.0,15.62,43.75,0.0,3.12,Clay,Clay,6.25
222328,Linda Noskova,Female,CZE,15,177,R,1020,3,42,11,9,3,6,37.0,72.97,2.65,4.46,64.68,56.76,16.22,0.0,0.0,10.81,16.22,0.0,0.0,Hard,Clay,27.03
206403,Alona Fomina,Female,UKR,31,177,R,1110,3,43,10,10,3,7,99.0,42.42,2.02,4.37,62.16,12.12,28.28,0.0,2.02,20.2,36.36,0.0,1.01,Clay,Clay,13.13
